date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:48	55549/55549	---MCZ	200	added ('OK')	application/json	date:Wed,%2018%20Jan%202023%2020:16:32%20GMT	https://nataliafaria.arq.br/wp-json/wp/v2/pages/263	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-json/wp/v2/pages/263.json	(from https://nataliafaria.arq.br/)
17:15:48	341079/341079	---MCZ	200	added ('OK')	application/json	date:Wed,%2018%20Jan%202023%2020:16:32%20GMT	https://nataliafaria.arq.br/wp-json/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-json/index.html	(from https://nataliafaria.arq.br/)
17:15:49	828/828	---M-Z	200	added ('OK')	text/xml	date:Wed,%2018%20Jan%202023%2020:16:33%20GMT	https://nataliafaria.arq.br/xmlrpc.php?rsd	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/xmlrpc0db0.php	(from https://nataliafaria.arq.br/)
17:15:50	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22415-4ed4785da9bc0%22	https://nataliafaria.arq.br/wp-includes/wlwmanifest.xml	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-includes/wlwmanifest.xml	(from https://nataliafaria.arq.br/)
17:15:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jan%202023%2020:16:34%20GMT	https://wp.me/P9vNeA-4f	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/P9vNeA-4f.16.delayed	(from https://nataliafaria.arq.br/)
17:15:51	4267/4267	---MCZ	200	added ('OK')	application/json	date:Wed,%2018%20Jan%202023%2020:16:35%20GMT	https://nataliafaria.arq.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnataliafaria.arq.br%2F	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-json/oembed/1.0/embed0d5d.json	(from https://nataliafaria.arq.br/)
17:15:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jan%202023%2020:16:35%20GMT	https://nataliafaria.arq.br/?page_id=263	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/index9008.html	(from https://nataliafaria.arq.br/)
17:15:52	4447/4447	---M-Z	200	added ('OK')	text/xml	date:Wed,%2018%20Jan%202023%2020:16:36%20GMT	https://nataliafaria.arq.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnataliafaria.arq.br%2F&format=xml	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-json/oembed/1.0/embedff6a	(from https://nataliafaria.arq.br/)
17:15:53	112967/112967	---MC-	200	added ('OK')	application/javascript	date:Wed,%2018%20Jan%202023%2018:49:30%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-92166148-1	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/gtag/js1065	(from https://nataliafaria.arq.br/)
17:15:53	50/50	---M--	200	added ('OK')	application/javascript	etag:%22104d46a3208b40e8ded389332f5a78a3%22	https://chimpstatic.com/mcjs-connected/js/users/2e657a22a3364791fc1a84118/bf1bd25d6e7e3b4cb615841b1.js	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/mcjs-connected/js/users/2e657a22a3364791fc1a84118/bf1bd25d6e7e3b4cb615841b1.js	(from https://nataliafaria.arq.br/)
